2010-07-27 07:47:06 Debug: Notice (8): Undefined variable: jquery in [APP\views\produtos\add.ctp, line 45]
2010-07-27 10:34:35 Debug: Notice (8): Undefined variable: jquery in [APP\views\produtos\add.ctp, line 45]
2010-07-30 23:22:41 Debug: Notice (8): Undefined index: erros in [APP\controllers\produtos_controller.php, line 62]
2010-07-30 23:43:23 Debug: Notice (8): Undefined variable: idProduto in [APP\controllers\ajax_controller.php, line 11]
2010-07-30 23:53:43 Debug: Notice (8): Undefined index: Imagem in [APP\controllers\produtos_controller.php, line 58]
2010-07-31 00:28:56 Debug: Notice (8): Undefined index: Imagem in [APP\controllers\produtos_controller.php, line 58]
2010-07-31 00:32:11 Debug: Notice (8): Undefined property: ProdutosController::$Imagem in [APP\controllers\produtos_controller.php, line 50]
2010-07-31 00:32:49 Debug: Notice (8): Undefined variable: idImg in [APP\controllers\produtos_controller.php, line 51]
2010-07-31 16:42:54 Debug: Notice (8): Undefined variable: jquery in [APP\views\users\login.ctp, line 2]
2010-07-31 18:24:09 Debug: Notice (8): Undefined variable: jquery in [APP\views\groups\add.ctp, line 2]
2010-07-31 18:27:34 Debug: Notice (8): Undefined index: nome in [APP\views\users\index.ctp, line 143]
2010-07-31 20:22:27 Debug: Notice (8): Undefined index: name in [APP\controllers\users_controller.php, line 19]
2010-07-31 20:22:27 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:23:16 Debug: Notice (8): Undefined index: name in [APP\controllers\users_controller.php, line 19]
2010-07-31 20:23:16 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:23:46 Debug: Notice (8): Undefined index: name in [APP\controllers\users_controller.php, line 20]
2010-07-31 20:23:46 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:24:38 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:25:20 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:31:00 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:31:33 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:31:38 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:33:16 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:34:14 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-07-31 20:34:28 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 06:03:22 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 06:05:42 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 06:05:49 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 06:07:39 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 06:08:28 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 06:08:35 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 06:09:11 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 15:54:50 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 15:56:44 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 15:58:17 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 1273]
2010-08-01 18:09:36 Debug: Notice (8): Undefined variable: users in [APP\views\pages\home.ctp, line 1]
2010-08-01 18:11:30 Debug: Notice (8): Undefined variable: teste in [APP\views\pages\home.ctp, line 1]
2010-08-01 18:12:01 Debug: Notice (8): Undefined variable: teste in [APP\views\pages\home.ctp, line 1]
2010-08-01 18:13:53 Debug: Notice (8): Undefined variable: teste in [APP\views\pages\home.ctp, line 1]
2010-08-01 18:14:15 Debug: Notice (8): Undefined variable: teste in [APP\views\pages\home.ctp, line 1]
2010-08-01 18:14:24 Debug: Notice (8): Undefined variable: teste in [APP\views\pages\home.ctp, line 1]
2010-08-01 18:15:16 Debug: Notice (8): Undefined variable: teste in [APP\views\pages\home.ctp, line 1]
2010-08-01 18:18:37 Debug: Notice (8): Undefined property: PagesController::$controller in [APP\app_controller.php, line 60]
2010-08-01 18:21:55 Debug: Notice (8): Undefined property: PagesController::$Page in [APP\app_controller.php, line 83]
2010-08-01 18:21:55 Debug: Notice (8): Trying to get property of non-object in [APP\app_controller.php, line 60]
2010-08-01 18:21:55 Debug: Notice (8): Undefined property: PagesController::$Produto in [APP\app_controller.php, line 61]
2010-08-01 18:37:16 Debug: Notice (8): Undefined property: ShoppsController::$Produto in [APP\controllers\shopps_controller.php, line 8]
2010-08-01 18:42:00 Debug: Notice (8): Undefined variable: paginator in [APP\views\shopps\index.ctp, line 64]
2010-08-01 18:42:16 Debug: Notice (8): Undefined variable: paginator in [APP\views\shopps\index.ctp, line 72]
2010-08-01 18:43:13 Debug: Notice (8): Undefined variable: linha in [APP\views\shopps\index.ctp, line 19]
2010-08-01 18:43:13 Debug: Notice (8): Undefined variable: linha in [APP\views\shopps\index.ctp, line 20]
2010-08-01 18:43:13 Debug: Notice (8): Undefined variable: linha in [APP\views\shopps\index.ctp, line 30]
2010-08-01 18:43:13 Debug: Notice (8): Undefined variable: linha in [APP\views\shopps\index.ctp, line 31]
2010-08-01 18:43:13 Debug: Notice (8): Undefined variable: linha in [APP\views\shopps\index.ctp, line 32]
2010-08-01 18:46:47 Debug: Notice (8): Undefined index: Linha in [APP\views\shopps\index.ctp, line 21]
2010-08-01 18:46:47 Debug: Notice (8): Undefined variable: linha in [APP\views\shopps\index.ctp, line 22]
2010-08-01 18:46:47 Debug: Notice (8): Undefined variable: linha in [APP\views\shopps\index.ctp, line 23]
2010-08-01 18:48:41 Debug: Notice (8): Undefined index: nome in [APP\views\shopps\index.ctp, line 22]
2010-08-01 18:49:52 Debug: Notice (8): Undefined index: diretorio in [APP\views\shopps\index.ctp, line 23]
2010-08-01 18:52:02 Debug: Notice (8): Undefined index: diretorio in [APP\views\shopps\index.ctp, line 23]
2010-08-01 18:52:09 Debug: Notice (8): Undefined index: diretorio in [APP\views\shopps\index.ctp, line 23]
2010-08-01 18:57:50 Debug: Notice (8): Undefined index: 0 in [APP\views\shopps\index.ctp, line 26]
2010-08-01 18:57:50 Debug: Notice (8): Uninitialized string offset: 0 in [CORE\cake\libs\view\helpers\html.php, line 437]
2010-08-01 19:06:54 Debug: Notice (8): Undefined index: 0 in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:24:27 Debug: Notice (8): Undefined index: Descrição in [APP\views\shopps\index.ctp, line 30]
2010-08-01 19:49:58 Debug: Notice (8): Undefined variable: jquery in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:25 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:25 Debug: Notice (8): Undefined variable: filtros in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:25 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 29]
2010-08-01 19:50:38 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:38 Debug: Notice (8): Undefined variable: filtros in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:38 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 29]
